job0,1,1,2267942,0,1937944,inputPath1
job2,2,0,90015105,110986156,2783997,inputPath3
job3,2,0,945,0,2668,inputPath4
job4,2,0,4654241,0,3938427,inputPath5
job5,2,0,87734611,102012497,663299,inputPath2
job6,4,2,497248039,0,739577331,inputPath6
job7,17,13,2859,3247,1812,inputPath7
job8,18,1,27450,0,1949,inputPath8
job9,21,3,17858356,0,241832747,inputPath9
job10,23,2,83586669,0,3764004,inputPath10
job11,59,36,115823,0,1446866,inputPath11
job12,62,3,15403,7306,60691,inputPath12
job13,70,8,178051723625,120538786,2594177,inputPath13
job14,77,7,28947009378,6996,245,inputPath14
job15,79,2,2235844705,0,3967774841,inputPath15
job16,81,2,49628,270017,62274,inputPath16
job17,84,3,2003,0,16330,inputPath17
job18,106,22,178051779577,846887385,19833905,inputPath12
job19,116,10,826021202,717502697,78621241,inputPath18
job20,120,4,782110652,108,162795085,inputPath19
job21,120,0,782110652,108,203535960,inputPath18
job22,120,0,782110652,108,192816448,inputPath18
job23,120,0,782110652,108,188288957,inputPath18
job24,120,0,782110652,60093020,12591280,inputPath18
job25,120,0,782110652,108,217028539,inputPath18
job26,122,2,128,0,11548801,inputPath20
job28,123,1,1,29,0,inputPath22
job29,132,9,22472,3477,410,inputPath23
job30,140,8,178052491343,143046233,1621758,inputPath12
job31,142,2,178051358658,15717413,342613,inputPath12
job32,142,0,178052085553,178909527,2090702,inputPath12
job33,147,5,4233153,33,244,inputPath24
job35,170,19,11548801,0,4846986,inputPath26
job36,171,1,141,0,25913915,inputPath27
job39,180,1,28947009378,7241,247,inputPath13
job40,189,9,376886587,0,509765479,inputPath30
job41,197,8,7688291238,0,315825,inputPath31
job42,200,3,25913915,0,12204589,inputPath32
job44,209,6,40832267,71736834,18533,inputPath34
job45,215,6,752334,0,0,inputPath35
job46,216,1,8631795,0,8396707,inputPath36
job47,219,3,3315,639,29259469252,inputPath37
job48,220,1,1,49,0,inputPath21
job49,232,12,2104913694,11112709,2274328,inputPath38
job51,237,3,95064243,66899,181,inputPath40
job53,239,1,28947009378,7029,245,inputPath13
job55,242,3,6420,0,0,inputPath34
job56,243,1,186892861170,0,2945120,inputPath43
job57,248,5,525980,0,27566,inputPath44
job58,252,4,885120,0,48408,inputPath45
job60,268,8,2622940773169,576600,281,inputPath47
job61,270,2,166440989,0,6814708,inputPath9
job62,276,6,6569760463,0,710207,inputPath48
job64,280,2,18801,23482,14644,inputPath50
